id,year,tabac,gum
24.0,2013,7.0,1.0
24.0,2014,16.0,12.0
24.0,2015,14.0,3.0
24.0,2017,5.0,1.0
24.0,2018,10.0,1.0
24.0,2019,20.0,2.0
25.0,2001,20.0,28.0
25.0,2010,10.0,4.0
25.0,2011,25.0,12.0
25.0,2012,20.0,4.0
25.0,2014,32.0,22.0
25.0,2015,15.0,4.0
25.0,2017,10.0,3.0
25.0,2019,5.0,2.0
26.0,2002,15.0,50.0
26.0,2010,1.0,1.0
26.0,2011,21.0,30.0
26.0,2012,20.0,5.0
26.0,2014,7.0,2.0
26.0,2015,5.0,20.0
26.0,2017,10.0,2.0
26.0,2018,20.0,1.0
26.0,2019,2.0,1.0
27.0,2001,31.0,44.0
27.0,2002,10.0,20.0
27.0,2010,16.0,2.0
27.0,2011,7.0,10.0
27.0,2012,20.0,10.0
27.0,2013,14.0,3.0
27.0,2015,13.0,4.0
27.0,2016,10.0,36.0
28.0,2001,10.0,20.0
28.0,2002,5.0,1.0
28.0,2010,37.0,5.0
28.0,2011,20.0,2.0
28.0,2012,40.0,27.0
28.0,2013,7.0,1.0
28.0,2014,7.0,2.0
28.0,2017,4.0,4.0
29.0,2001,5.0,25.0
29.0,2002,30.0,12.0
29.0,2010,22.0,7.0
29.0,2011,17.0,4.0
29.0,2012,27.0,15.0
29.0,2013,9.0,22.0
29.0,2014,18.0,23.0
29.0,2015,20.0,3.0
29.0,2017,1.0,2.0
29.0,2018,20.0,3.0
29.0,2019,7.0,1.0
30.0,2001,5.0,1.0
30.0,2010,44.0,34.0
30.0,2011,75.0,70.0
30.0,2012,39.0,25.0
30.0,2013,46.0,62.0
30.0,2014,42.0,15.0
30.0,2016,3.0,2.0
30.0,2017,7.0,2.0
30.0,2018,21.0,12.0
30.0,2019,2.0,2.0
31.0,2001,7.0,7.0
31.0,2002,6.0,10.0
31.0,2011,24.0,21.0
31.0,2012,19.0,44.0
31.0,2013,4.0,3.0
31.0,2016,8.0,5.0
31.0,2018,3.0,4.0
31.0,2019,10.0,4.0
32.0,2001,37.0,2.0
32.0,2002,10.0,7.0
32.0,2010,33.0,15.0
32.0,2011,11.0,2.0
32.0,2012,8.0,10.0
32.0,2014,17.0,3.0
32.0,2015,22.0,11.0
32.0,2016,29.0,17.0
32.0,2017,20.0,2.0
32.0,2018,8.0,2.0
32.0,2019,5.0,1.0
33.0,2001,7.0,3.0
33.0,2002,6.0,2.0
33.0,2010,30.0,54.0
33.0,2011,3.0,1.0
33.0,2013,10.0,2.0
33.0,2018,30.0,2.0
34.0,2000,7.0,1.0
34.0,2001,31.0,26.0
34.0,2002,27.0,3.0
34.0,2010,10.0,10.0
34.0,2011,41.0,6.0
34.0,2012,4.0,2.0
34.0,2013,9.0,14.0
34.0,2014,18.0,5.0
34.0,2015,6.0,2.0
34.0,2017,7.0,1.0
34.0,2018,10.0,2.0
34.0,2019,6.0,1.0
35.0,2002,10.0,7.0
35.0,2010,4.0,10.0
35.0,2011,7.0,10.0
35.0,2012,10.0,10.0
35.0,2013,10.0,2.0
36.0,2001,10.0,10.0
36.0,2002,20.0,4.0
36.0,2010,40.0,26.0
36.0,2011,43.0,15.0
36.0,2012,21.0,21.0
36.0,2013,34.0,21.0
36.0,2014,39.0,5.0
36.0,2015,12.0,20.0
36.0,2016,16.0,22.0
36.0,2017,21.0,3.0
36.0,2018,17.0,3.0
36.0,2019,20.0,3.0
37.0,2002,10.0,2.0
37.0,2010,41.0,17.0
37.0,2011,51.0,47.0
37.0,2012,26.0,14.0
37.0,2013,31.0,9.0
37.0,2016,3.0,10.0
38.0,2001,10.0,1.0
38.0,2010,7.0,1.0
38.0,2011,18.0,10.0
38.0,2012,33.0,25.0
38.0,2013,7.0,1.0
38.0,2014,9.0,3.0
38.0,2015,28.0,3.0
38.0,2016,14.0,1.0
38.0,2017,8.0,2.0
38.0,2018,4.0,2.0
38.0,2019,6.0,3.0
39.0,2001,15.0,4.0
39.0,2002,14.0,11.0
39.0,2010,34.0,4.0
39.0,2011,31.0,43.0
39.0,2012,24.0,5.0
39.0,2013,7.0,5.0
39.0,2014,30.0,8.0
39.0,2015,7.0,2.0
39.0,2018,7.0,3.0
39.0,2019,7.0,3.0
40.0,2002,7.0,10.0
40.0,2010,49.0,18.0
40.0,2011,41.0,12.0
40.0,2012,31.0,7.0
40.0,2013,31.0,12.0
40.0,2014,19.0,5.0
40.0,2015,21.0,4.0
40.0,2016,29.0,7.0
40.0,2017,14.0,2.0
40.0,2018,19.0,8.0
40.0,2019,23.0,5.0
41.0,2001,5.0,1.0
41.0,2002,17.0,3.0
41.0,2010,20.0,50.0
41.0,2013,7.0,20.0
41.0,2014,2.0,2.0
41.0,2015,20.0,1.0
42.0,2010,14.0,31.0
42.0,2011,7.0,1.0
42.0,2012,7.0,1.0
42.0,2013,20.0,2.0
42.0,2015,11.0,3.0
42.0,2019,5.0,5.0
43.0,2014,7.0,1.0
43.0,2017,7.0,1.0
44.0,2002,3.0,3.0
44.0,2010,32.0,42.0
44.0,2011,20.0,21.0
45.0,2010,10.0,30.0
45.0,2012,10.0,1.0
45.0,2013,10.0,2.0
46.0,2002,7.0,2.0
46.0,2010,14.0,2.0
46.0,2011,14.0,2.0
46.0,2012,33.0,14.0
46.0,2013,17.0,72.0
46.0,2014,7.0,3.0
46.0,2015,13.0,3.0
46.0,2016,3.0,60.0
46.0,2017,13.0,8.0
46.0,2019,20.0,4.0
47.0,2001,7.0,3.0
47.0,2010,12.0,12.0
47.0,2011,101.0,28.0
47.0,2014,3.0,1.0
48.0,2002,10.0,10.0
48.0,2010,19.0,9.0
48.0,2011,7.0,1.0
48.0,2012,7.0,1.0
48.0,2017,7.0,2.0
48.0,2019,3.0,3.0
49.0,2010,7.0,1.0
49.0,2012,14.0,3.0
49.0,2013,10.0,2.0
49.0,2015,35.0,5.0
49.0,2017,10.0,4.0
50.0,2011,2.0,10.0
50.0,2012,14.0,12.0
50.0,2017,11.0,4.0
50.0,2018,2.0,2.0
50.0,2019,2.0,1.0
51.0,2000,109.0,114.0
51.0,2001,149.0,119.0
51.0,2002,396.0,163.0
51.0,2010,10.0,2.0
51.0,2011,8.0,10.0
51.0,2012,18.0,34.0
51.0,2013,10.0,2.0
51.0,2015,6.0,12.0
51.0,2017,10.0,4.0
51.0,2018,10.0,4.0
52.0,2000,62.0,75.0
52.0,2001,92.0,51.0
52.0,2002,193.0,188.0
52.0,2010,12.0,3.0
52.0,2011,16.0,23.0
52.0,2012,12.0,8.0
52.0,2013,24.0,26.0
52.0,2014,10.0,10.0
52.0,2015,5.0,2.0
52.0,2016,5.0,3.0
52.0,2017,7.0,2.0
52.0,2018,10.0,3.0
53.0,2000,32.0,9.0
53.0,2001,36.0,19.0
53.0,2002,116.0,157.0
53.0,2010,7.0,3.0
53.0,2011,30.0,28.0
53.0,2012,17.0,4.0
53.0,2014,6.0,1.0
53.0,2015,20.0,1.0
53.0,2016,7.0,1.0
54.0,2000,20.0,22.0
54.0,2001,6.0,25.0
54.0,2002,175.0,57.0
54.0,2010,13.0,2.0
54.0,2011,7.0,2.0
54.0,2016,2.0,1.0
54.0,2017,5.0,4.0
